tanggal,positif,sembuh,meninggal,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2021-01-06,788402.0,652513.0,23296.0,0.02954837760431861,0.8276399603248089,28.009658310439562
2021-01-07,797723.0,659437.0,23520.0,0.029483918603324714,0.8266491000008775,28.037287414965988
2021-01-08,808340.0,666883.0,23753.0,0.02938491228938318,0.8250030927579979,28.075737801540857
2021-01-09,818386.0,673511.0,23947.0,0.029261253247245187,0.8229747331943607,28.125067858186828
2021-01-10,828026.0,681024.0,24129.0,0.029140389311446743,0.8224669273670151,28.224294417505906
2021-01-11,836718.0,688739.0,24343.0,0.02909343410802684,0.8231435202780387,28.293102740007395
2021-01-12,846765.0,695807.0,24645.0,0.029104887424492038,0.8217238549066151,28.2331913166971
2021-01-13,858043.0,703464.0,24951.0,0.029078962243150985,0.8198470239836465,28.193819886978478
2021-01-14,869600.0,711205.0,25246.0,0.02903173873045078,0.8178530358785648,28.170997385724473
2021-01-15,882418.0,718696.0,25484.0,0.02887973726737215,0.814462080329277,28.201852142520796
2021-01-16,896642.0,727358.0,25767.0,0.028737221767438956,0.8112022412512463,28.22827647766523
2021-01-17,907929.0,736460.0,25987.0,0.0286222821388016,0.811142721512365,28.339554392580904
2021-01-18,917015.0,745935.0,26282.0,0.028660381782195495,0.8134381662241076,28.381972452629174
2021-01-19,927380.0,753948.0,26590.0,0.028672173219176606,0.8129871250188704,28.35456938698759
2021-01-20,939948.0,763703.0,26857.0,0.028572857221888872,0.8124949465289569,28.435901254793908
2021-01-21,951651.0,772790.0,27203.0,0.028585059018484717,0.812051897176591,28.408263794434436
2021-01-22,965283.0,781147.0,27453.0,0.028440364121195546,0.8092414348952587,28.453975886059812
2021-01-23,977474.0,791059.0,27664.0,0.028301520040430742,0.8092890450283077,28.59525014459225
2021-01-24,989262.0,798810.0,27835.0,0.028137136572515674,0.8074807280578856,28.698042033411173
2021-01-25,999256.0,809488.0,28132.0,0.028152945791669003,0.8100907074863699,28.774633868903738
2021-01-26,1012350.0,820356.0,28468.0,0.028120709240875192,0.8103481997332939,28.816776731769004
2021-01-27,1024298.0,831330.0,28855.0,0.02817051287808821,0.8116095120755874,28.810604747877317
2021-01-28,1037993.0,842122.0,29331.0,0.028257415994134834,0.8112983420890122,28.71098837407521
2021-01-29,1051795.0,852260.0,29518.0,0.028064404185226207,0.8102909787553658,28.87255234094451
2021-01-30,1066313.0,862502.0,29728.0,0.027879243711743176,0.808863813908299,29.01311894510226
2021-01-31,1078314.0,873221.0,29998.0,0.027819355030167466,0.8098021541035357,29.109307287152475
2021-02-01,1089308.0,883682.0,30277.0,0.02779471003609631,0.8112324521622902,29.18657726987482
2021-02-02,1099687.0,896530.0,30581.0,0.02780882196479544,0.8152592510414327,29.316569111539845
