tanggal,meninggal,sembuh,positif,positif_aktif,meninggal harian,sembuh harian,self-isolation harian,dirawat harian,positif harian,positif aktif harian,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-03-24,15111,1207258,1232511,10142,5,1905,-805,-38,1067,-843,0.012260336824580064,0.97951093337098,79.89266097544835
2022-03-25,15116,1208909,1233401,9376,5,1651,-653,-113,890,-766,0.012255543817460825,0.9801427110890943,79.9754564699656
2022-03-26,15121,1210332,1234197,8744,5,1423,-507,-125,796,-632,0.012251690775459671,0.9806635407475468,80.04311884134647
2022-03-27,15126,1211717,1234791,7948,5,1385,-752,-44,594,-796,0.012249846330269657,0.9813134368488271,80.1082242496364
2022-03-28,15138,1213009,1235364,7217,12,1292,-533,-198,573,-731,0.012253878209175595,0.9819041189479376,80.13007002246003
2022-03-29,15148,1213901,1236106,7057,10,892,91,-251,742,-160,0.012254612468509982,0.982036330217635,80.13605756535516
2022-03-30,15159,1214728,1237007,7120,11,827,163,-100,901,63,0.01225457899591514,0.9819895926215454,80.13246256349363
2022-03-31,15167,1216040,1237736,6529,8,1312,-470,-121,729,-591,0.012253824725143326,0.982471221649851,80.17669941319971
2022-04-01,15175,1217108,1238377,6094,8,1068,-318,-117,641,-435,0.012253942054802375,0.9828251009183795,80.20481054365733
2022-04-02,15183,1218121,1239010,5706,8,1013,-324,-64,633,-388,0.01225413838467809,0.983140571908217,80.22926957781729
2022-04-03,15190,1218930,1239622,5502,7,809,-159,-45,612,-204,0.012253735412891995,0.9833078148016089,80.24555628703094
2022-04-04,15200,1219664,1240110,5246,10,734,-200,-56,488,-256,0.012256977203635161,0.9835127529009523,80.24105263157895
2022-04-05,15205,1220235,1240678,5238,5,571,-16,8,568,-8,0.012255395840016507,0.9835227190294339,80.25221966458402
2022-04-06,15207,1220769,1241431,5455,2,534,294,-77,753,217,0.012249573274712811,0.9833563041361139,80.2767804300651
2022-04-07,15212,1221596,1242105,5297,5,827,-105,-53,674,-158,0.01224695174723554,0.9834885134509562,80.30475940047332
2022-04-08,15214,1222380,1242697,5103,2,784,-153,-41,592,-194,0.012242726907685462,0.9836508819124855,80.3457341921914
2022-04-09,15217,1223059,1243147,4871,3,679,-189,-43,450,-232,0.012240708460061442,0.9838410099529662,80.37451534468029
2022-04-10,15220,1223655,1243517,4642,3,596,-228,-1,370,-229,0.012239478833019573,0.9840275605399845,80.39783180026281
2022-04-11,15224,1224308,1243829,4297,4,653,-284,-61,312,-345,0.01223962457861973,0.98430572048087,80.41960063058329
2022-04-12,15229,1224805,1244184,4150,5,497,-148,1,355,-147,0.01224015097445394,0.9844243295203925,80.42583229365027
2022-04-13,15232,1225348,1244583,4003,3,543,-92,-55,399,-147,0.012238637358858348,0.9845450243173818,80.44564075630252
2022-04-14,15234,1226139,1244955,3582,2,791,-388,-33,372,-421,0.012236586864585466,0.9848862007060496,80.48700275699095
2022-04-15,15238,1226739,1245265,3288,4,600,-290,-4,310,-294,0.012236752819680952,0.9851228453381409,80.50525003281271
2022-04-16,15240,1227338,1245458,2880,2,599,-368,-40,193,-408,0.012236462409812294,0.9854511352450264,80.53398950131233
2022-04-17,15244,1227793,1245653,2616,4,455,-264,0,195,-264,0.012237758027315793,0.985662138653381,80.5427053266859
2022-04-18,15250,1228205,1245823,2368,6,412,-208,-40,170,-248,0.012240904205493076,0.9858583442431228,80.53803278688524
2022-04-19,15252,1228519,1246002,2231,2,314,-121,-16,179,-137,0.012240750817414419,0.9859687223616014,80.54805927091529
2022-04-20,15254,1228783,1246233,2196,2,264,-10,-25,231,-35,0.012240086725355532,0.9859978029790577,80.55480529697128
2022-04-21,15258,1229206,1246392,1928,4,423,-263,-5,159,-268,0.012241734542583713,0.9862114005866534,80.561410407655
2022-04-22,15261,1229616,1246607,1730,3,410,-186,-12,215,-198,0.012242029765595732,0.9863702032797826,80.57243955179871
2022-04-23,15264,1229971,1246779,1544,3,355,-161,-25,172,-186,0.012242747110754994,0.9865188618030942,80.57986111111111
2022-04-24,15265,1230220,1246914,1429,1,249,-107,-8,135,-115,0.012242223601627699,0.986611747081194,80.59089420242384
2022-04-25,15266,1230368,1247015,1381,1,148,-42,-6,101,-48,0.012242033977137403,0.9866505214452111,80.59530983885759
2022-04-26,15268,1230600,1247214,1346,2,232,-30,-5,199,-35,0.01224168426589182,0.9866791104012623,80.59994760282945
2022-04-27,15271,1230742,1247344,1331,3,142,-24,9,130,-15,0.012242813530188945,0.9866901191652022,80.59341235020628
2022-04-28,15272,1230989,1247457,1196,1,247,-102,-33,113,-135,0.012242506154520758,0.9867987433634987,80.60430853850184
2022-04-29,15273,1231171,1247583,1139,1,182,-28,-29,126,-57,0.01224207126900575,0.9868449634212714,80.61094742355792
2022-04-30,15274,1231413,1247734,1047,1,242,-94,2,151,-92,0.012241391193956404,0.9869194876472068,80.62151368338353
2022-05-01,15275,1231573,1247815,967,1,160,-73,-7,81,-80,0.012241397963640443,0.9869836474156826,80.62671031096563
