tanggal,meninggal,sembuh,positif,positif_aktif,rasio_kematian,rasio_sembuh,rasio_sembuh_meninggal
2022-10-14,15606,1413399,1434192,5187,0.010881388266006225,0.9855019411626895,90.56766628219916
2022-10-15,15608,1413956,1434769,5205,0.010878406210337692,0.9854938321081651,90.59174782162994
2022-10-16,15610,1414545,1435287,5132,0.010875873605766652,0.9855485348923246,90.6178731582319
2022-10-17,15611,1415045,1435735,5079,0.010873176456658088,0.9855892626424793,90.64409711101146
2022-10-18,15612,1415449,1436432,5371,0.01086859663388173,0.9853922775321073,90.66416858826544
2022-10-19,15614,1415986,1437323,5723,0.010863250640252748,0.9851550416990474,90.68694761111823
2022-10-20,15615,1416863,1438107,5629,0.0108580237770903,0.985227802938168,90.73730387447966
2022-10-21,15615,1417614,1438880,5651,0.010852190592683199,0.9852204492382964,90.78539865513929
2022-10-22,15617,1418276,1439544,5651,0.01084857427074129,0.9852258770832986,90.81616187487994
2022-10-23,15619,1418791,1440187,5777,0.010845119418519957,0.9851435959358056,90.83750560215123
2022-10-24,15620,1419376,1440812,5816,0.010841109041290606,0.985122278270864,90.86914212548015
2022-10-25,15623,1419880,1441701,6198,0.010836504934102147,0.9848644066973665,90.88395314600268
2022-10-26,15626,1420354,1442767,6787,0.010830577633117474,0.9844652670874784,90.89683860232945
2022-10-27,15628,1421266,1443829,6935,0.01082399647049616,0.9843728031505116,90.9435628359355
2022-10-28,15628,1421980,1444836,7228,0.010816452524715608,0.9841809035765997,90.98925006398771
2022-10-29,15631,1422831,1445877,7415,0.01081073977938649,0.9840608848470513,91.02622992770776
2022-10-30,15633,1423547,1446958,7778,0.010804045452597794,0.9838205393660355,91.06038508283758
2022-10-31,15634,1424109,1447780,8037,0.010798601997541063,0.9836501402146735,91.09050786746833
2022-11-01,15636,1424803,1449339,8900,0.01078836628283652,0.9830709033566336,91.12324123816833
2022-11-02,15639,1425428,1451120,10053,0.010777192789018137,0.9822950548541816,91.1457254300147
2022-11-03,15642,1426549,1452943,10752,0.010765735476202439,0.9818341118681188,91.19991049737885
2022-11-04,15646,1427561,1454979,11772,0.010753419808808238,0.9811557417667196,91.24127572542503
2022-11-05,15649,1428603,1456838,12586,0.010741757148015084,0.9806189844032075,91.29036999169276
2022-11-06,15653,1429670,1458380,13057,0.010733142253733594,0.9803137728164127,91.33520730850316
2022-11-07,15657,1430753,1459725,13315,0.010725992909623387,0.9801524259706451,91.3810436226608
2022-11-08,15660,1431618,1461979,14701,0.010711508168037981,0.9792329438384546,91.41877394636015
2022-11-09,15664,1432536,1464536,16336,0.010695537699312275,0.9781500762016092,91.45403472931562
